case,time_s,probe,x,y,u,v,speed
three,56.95000000,Q1,4.0,0.0,-0.06676528343,0.2953440055,0.3027964409
three,56.95000000,Q2,6.0,1.0,0.8359239751,-0.3214780334,0.8956098582
three,56.95000000,Q3,8.0,-1.0,1.190669329,0.2815002382,1.223493292
three,56.95000000,Q4,10.0,0.5,0.7354139369,-0.4488935525,0.8615910167
three,56.95000000,Q5,12.0,-0.5,0.9764686707,0.3868367301,1.050301728
three,56.95000000,Q6,14.0,0.0,0.8345408684,-0.3012367642,0.8872440753
three,57.00000000,Q1,4.0,0.0,-0.06235940603,0.2608860476,0.2682353916
three,57.00000000,Q2,6.0,1.0,0.8597359941,-0.3368648423,0.9233763596
three,57.00000000,Q3,8.0,-1.0,1.21162719,0.2851963418,1.244739893
three,57.00000000,Q4,10.0,0.5,0.7477999627,-0.4457410364,0.8705686968
three,57.00000000,Q5,12.0,-0.5,0.9804380906,0.3845411625,1.053152769
three,57.00000000,Q6,14.0,0.0,0.8340621924,-0.2860675091,0.8817564066
three,57.05000000,Q1,4.0,0.0,-0.05949786593,0.225205074,0.2329320102
three,57.05000000,Q2,6.0,1.0,0.884013002,-0.3521316342,0.9515648562
three,57.05000000,Q3,8.0,-1.0,1.231315175,0.2881263421,1.264576549
three,57.05000000,Q4,10.0,0.5,0.7601815187,-0.441158483,0.8789179418
three,57.05000000,Q5,12.0,-0.5,0.9838280493,0.3814079224,1.055172798
three,57.05000000,Q6,14.0,0.0,0.8331894823,-0.2697431986,0.8757660113
three,57.10000000,Q1,4.0,0.0,-0.05798663123,0.1887133578,0.1974213282
three,57.10000000,Q2,6.0,1.0,0.9083776494,-0.3651918909,0.9790378292
three,57.10000000,Q3,8.0,-1.0,1.249040798,0.2905715267,1.282394139
three,57.10000000,Q4,10.0,0.5,0.772149329,-0.4353761351,0.8864349753
three,57.10000000,Q5,12.0,-0.5,0.9867183479,0.3772613676,1.056380252
three,57.10000000,Q6,14.0,0.0,0.8318994272,-0.2522163065,0.8692926563
three,57.15000000,Q1,4.0,0.0,-0.05791138097,0.1512288508,0.1619379306
three,57.15000000,Q2,6.0,1.0,0.9329965632,-0.3769669605,1.006273659
three,57.15000000,Q3,8.0,-1.0,1.265109842,0.292407687,1.298462617
three,57.15000000,Q4,10.0,0.5,0.7838841185,-0.4282923241,0.8932573124
three,57.15000000,Q5,12.0,-0.5,0.9890737486,0.3721790569,1.056780077
three,57.15000000,Q6,14.0,0.0,0.8302023207,-0.233507819,0.8624162538
three,57.20000000,Q1,4.0,0.0,-0.05918398791,0.112903956,0.127475675
three,57.20000000,Q2,6.0,1.0,0.9578425459,-0.3869641212,1.033055455
three,57.20000000,Q3,8.0,-1.0,1.279515588,0.2936011615,1.312768747
three,57.20000000,Q4,10.0,0.5,0.7952596025,-0.4199697188,0.8993399803
three,57.20000000,Q5,12.0,-0.5,0.9908848572,0.3661098345,1.056356574
three,57.20000000,Q6,14.0,0.0,0.8281134199,-0.2135983075,0.8552169744
three,57.25000000,Q1,4.0,0.0,-0.06156954569,0.07414642728,0.09637687293
three,57.25000000,Q2,6.0,1.0,0.9828368196,-0.3938501853,1.058813573
three,57.25000000,Q3,8.0,-1.0,1.292226717,0.2940692574,1.325264734
three,57.25000000,Q4,10.0,0.5,0.8059365685,-0.4105771911,0.9044928868
three,57.25000000,Q5,12.0,-0.5,0.9921286217,0.3589160968,1.055054485
three,57.25000000,Q6,14.0,0.0,0.8256722681,-0.1924358906,0.8478008411
three,57.30000000,Q1,4.0,0.0,-0.06519999638,0.03472723762,0.07387164923
three,57.30000000,Q2,6.0,1.0,1.008023632,-0.3983739771,1.083888126
three,57.30000000,Q3,8.0,-1.0,1.30326082,0.2938584215,1.335979617
three,57.30000000,Q4,10.0,0.5,0.8161055452,-0.4000198892,0.9088697226
three,57.30000000,Q5,12.0,-0.5,0.9928179899,0.3506751329,1.052929537
three,57.30000000,Q6,14.0,0.0,0.8228566546,-0.170049709,0.8402439988
three,57.35000000,Q1,4.0,0.0,-0.06987387766,-0.004923001149,0.0700470893
three,57.35000000,Q2,6.0,1.0,1.033456661,-0.3997637887,1.108081115
three,57.35000000,Q3,8.0,-1.0,1.312687276,0.2928243626,1.344951297
three,57.35000000,Q4,10.0,0.5,0.8254869333,-0.3883539352,0.9122759758
three,57.35000000,Q5,12.0,-0.5,0.9929077856,0.3412771506,1.049921885
three,57.35000000,Q6,14.0,0.0,0.819766438,-0.1464920845,0.8327526306
three,57.40000000,Q1,4.0,0.0,-0.07551873731,-0.0446494274,0.0877305594
three,57.40000000,Q2,6.0,1.0,1.05915521,-0.3977420898,1.131374619
three,57.40000000,Q3,8.0,-1.0,1.320531035,0.2909151889,1.352195941
three,57.40000000,Q4,10.0,0.5,0.8339801802,-0.3755995125,0.9146572772
three,57.40000000,Q5,12.0,-0.5,0.9923817618,0.3306826653,1.046027048
three,57.40000000,Q6,14.0,0.0,0.8164375307,-0.1217818337,0.8254702033
three,57.45000000,Q1,4.0,0.0,-0.08221618594,-0.0846264782,0.1179878894
three,57.45000000,Q2,6.0,1.0,1.085097535,-0.3926214922,1.153944668
